Переменная|Англ.|Русс.|Перевод
Карибский бассейн||Карибский бассейн|Caraibe
Киргизская Республика||Киргизская Республика|Republica Kârgâză
Китайская Народная Республика||Китайская Народная Республика|Republica Populară Chineză
Княжество Андорра||Княжество Андорра|Principatul Andorra
Княжество Лихтенштейн||Княжество Лихтенштейн|Principatul Liechtenstein
Княжество Монако||Княжество Монако|Principatul Monaco
Корейская Народно-Демократическая Республика||Корейская Народно-Демократическая Республика|Republica Populară Democrată Coreeană
Королевство Бахрейн||Королевство Бахрейн|Regatul Bahrain
Королевство Бельгии||Королевство Бельгии|Regatul Belgiei
Королевство Бутан||Королевство Бутан|Regatul Bhutan
Королевство Дания||Королевство Дания|Regatul Danemarcei
Королевство Испания||Королевство Испания|Regatul Spaniei
Королевство Камбоджа||Королевство Камбоджа|Regatul Cambodgiei
Королевство Лесото||Королевство Лесото|Regatul Lesotho
Королевство Марокко||Королевство Марокко|Regatul Maroc
Королевство Нидерландов||Королевство Нидерландов|Regatul Țărilor de Jos
Королевство Норвегия||Королевство Норвегия|Regatul Norvegiei
Королевство Саудовская Аравия||Королевство Саудовская Аравия|Regatul Arabiei Saudite
Королевство Свазиленд||Королевство Свазиленд|Regatul Swaziland
Королевство Таиланд||Королевство Таиланд|Regatul Thailandei
Королевство Тонга||Королевство Тонга|Regatul Tonga
Королевство Швеция||Королевство Швеция|Regatul Suediei
Лаосская Народно-Демократическая Республика||Лаосская Народно-Демократическая Республика|Republica Populară Democrată Laos
Латвийская Республика||Латвийская Республика|Republica Letonia
Ливанская Республика||Ливанская Республика|Republica Libaneză
Литовская Республика||Литовская Республика|Republica Lituania
Мальдивская Республика||Мальдивская Республика|Republica Maldive
Мексиканские Соединенные Штаты||Мексиканские Соединенные Штаты|Statele Unite Mexicane
Меланезия||Меланезия|Melanezia
Микронезия||Микронезия|Micronezia
Многонациональное Государство Боливия||Многонациональное Государство Боливия|Statul pluralist Bolivia
